Original Text,Initial,Machine translation,Better translation,Best translation
"LAYER_S 0 BedroomBottom 0 0 255 0 0 0 0 0 0
LAYER_S 1 BedroomTop 0 0 255 4 0 0 0 0 0
LAYER_S 2 BedroomLight 0 0 255 4.5 0 0 0 0 0
LAYER_S 3 DarkPurple 0 0 50 5 0 0 0 0 0",,,,
Auto,,Automático,,
"---Opening to the game---
BEAT 1",,"---Abertura para o jogo---
BATIDA 1",,
...How long has your life been like this?,,...Há quanto tempo sua vida é assim?,,
You haven't a clue.,,Você não tem ideia.,,
"...But given your situation, you don't care about that.",,"...Mas dada a sua situação, você não se importa com isso.",,
?????,,?????,,
...,,...,,
"Rise and shine, Alice Abbott!!!",,"Levante-se e brilhe, Alice Abbott!!!",,
Alice,,Alice,,
\F[alice_lemmesleep]Ugh... what time is it?,,\F[alice_lemmesleep]Ugh... que horas são?,,
\F[alice_lemmesleep]\AA[N]The time really shouldn't matter to you. Not when you're just gonna stay inside all day!,,\F[alice_lemmesleep]\AA[N]O tempo realmente não deveria importar para você.Não quando você vai ficar dentro de casa o dia todo!,,
\F[alice_downturned]\AA[F]...Whatever... I'm just gonna do what I do best. Sit. And watch TV.,,\F[alice_downturned]\AA[F]...Tanto faz... Vou apenas fazer o que faço de melhor.Sentar.E assistir TV.,,
\F[alice_downturned]\AA[N]It's gotten so bad that you can't bring yourself to get out of bed.,,\F[alice_downturned]\AA[N]Está tão ruim que você não consegue sair da cama.,,
"\F[alice_downturned]\AA[N]In order to look around, you find yourself having to [CLICK] on everything in the room.",,"\F[alice_downturned]\AA[N]Para olhar ao redor, você precisa [CLIQUE] em tudo na sala.",,
Alice_Sit,,Alice_Sit,,
<Hitbox Left: 1><Hitbox Up: 1><Click Trigger>,,,,
It's you!,,É você!,,
"Your sad, hermit little self.",,Seu eu triste e eremita.,,
As if you didn't know that already!,,Como se você já não soubesse disso!,,
It's you.,,É você.,,
Your sad little hermit self.,,Seu pequeno e triste eu eremita.,,
...All that you have is yourself now.,,...Tudo o que você tem é você mesmo agora.,,
"...Even then, you're beginning to lose her.",,"...Mesmo assim, você está começando a perdê-la.",,
It's too late for you now.,,Agora é tarde demais para você.,,
Takeout,,Para viagem,,
"<Hitbox Up: 1><Click Trigger><Sprite Offset: +0, -16>",,,,
You're grateful for this.,,Você está grato por isso.,,
Grateful that you don't have to go out for food!,,Grata por não precisar sair para comer!,,
"Otherwise, you would've died long ago.",,"Caso contrário, você teria morrido há muito tempo.",,
