Original Text,Initial,Machine translation,Better translation,Best translation,Vencedor,Score Annie,Score Online
"LAYER_S 0 BedroomBottom 0 0 255 0 0 0 0 0 0
LAYER_S 1 BedroomTop 0 0 255 4 0 0 0 0 0
LAYER_S 2 BedroomLight 0 0 255 4.5 0 0 0 0 0
LAYER_S 3 DarkPurple 0 0 50 5 0 0 0 0 0",,,"LAYER_S 0 BedroomBottom 0 0 255 0 0 0 0 0 0
LAYER_S 1 BedroomTop 0 0 255 4 0 0 0 0 0
LAYER_S 2 BedroomLight 0 0 255 4.5 0 0 0 0 0
LAYER_S 3 DarkPurple 0 0 50 5 0 0 0 0 0","LAYER_S 0 BedroomBottom 0 0 255 0 0 0 0 0 0
LAYER_S 1 BedroomTop 0 0 255 4 0 0 0 0 0
LAYER_S 2 BedroomLight 0 0 255 4.5 0 0 0 0 0
LAYER_S 3 DarkPurple 0 0 50 5 0 0 0 0 0",Annie (Protegido),1.0,0.0
Auto,,Automático,Automa,Automa,Annie,0.679,0.655
"---Opening to the game---
BEAT 1",,"---Abertura para o jogo---
BATIDA 1",---Abrir au jeu---- BEAT 1,"---Abertura para o jogo---
BATIDA 1",Online,0.642,0.667
...How long has your life been like this?,,...Há quanto tempo sua vida é assim?,...hace quanto tempo su vida está así?,...hace quanto tempo su vida está así?,Annie,0.664,0.653
You haven't a clue.,,Você não tem ideia.,Usted no tiene ni idea.,Você não tem ideia.,Online,0.622,0.643
"...But given your situation, you don't care about that.",,"...Mas dada a sua situação, você não se importa com isso.",,"...Mas dada a sua situação, você não se importa com isso.",Online (Annie falhou),0.0,0.676
?????,,?????,?????,?????,Annie (Protegido),1.0,0.0
...,,...,...,...,Annie (Protegido),1.0,0.0
"Rise and shine, Alice Abbott!!!",,"Levante-se e brilhe, Alice Abbott!!!","Levante e brille, Alice Abbott!!!","Levante e brille, Alice Abbott!!!",Annie,0.626,0.601
Alice,,Alice,Alice,Alice,Annie,0.628,0.628
\F[alice_lemmesleep]Ugh... what time is it?,,\F[alice_lemmesleep]Ugh... que horas são?,,\F[alice_lemmesleep]Ugh... que horas são?,Online (Annie falhou),0.0,0.641
\F[alice_lemmesleep]\AA[N]The time really shouldn't matter to you. Not when you're just gonna stay inside all day!,,\F[alice_lemmesleep]\AA[N]O tempo realmente não deveria importar para você.Não quando você vai ficar dentro de casa o dia todo!,,\F[alice_lemmesleep]\AA[N]O tempo realmente não deveria importar para você.Não quando você vai ficar dentro de casa o dia todo!,Online (Annie falhou),0.0,0.656
\F[alice_downturned]\AA[F]...Whatever... I'm just gonna do what I do best. Sit. And watch TV.,,\F[alice_downturned]\AA[F]...Tanto faz... Vou apenas fazer o que faço de melhor.Sentar.E assistir TV.,,\F[alice_downturned]\AA[F]...Tanto faz... Vou apenas fazer o que faço de melhor.Sentar.E assistir TV.,Online (Annie falhou),0.0,0.661
\F[alice_downturned]\AA[N]It's gotten so bad that you can't bring yourself to get out of bed.,,\F[alice_downturned]\AA[N]Está tão ruim que você não consegue sair da cama.,,\F[alice_downturned]\AA[N]Está tão ruim que você não consegue sair da cama.,Online (Annie falhou),0.0,0.656
