Original Text,Initial,Machine translation,Better translation,Best translation
"LAYER_S 0 BedroomBottom 0 0 255 0 0 0 0 0 0
LAYER_S 1 BedroomTop 0 0 255 4 0 0 0 0 0
LAYER_S 2 BedroomLight 0 0 255 4.5 0 0 0 0 0
LAYER_S 3 DarkPurple 0 0 50 5 0 0 0 0 0",,,,
\F[alice_depressed]\AA[F]...And it was all because I didn't want to work with him on a project.,,\F[alice_depressed]\AA[F]...E tudo porque eu não queria trabalhar com ele em um projeto.,,
\F[alice_downturned]\AA[F]Guess that they finally cut the power... Explains why the lamp's off.,,\F[alice_downturned]\AA[F]Acho que finalmente cortaram a energia... Explica porque a lâmpada está apagada.,,
Why do you have a trash bin if you never use it?,,Por que você tem uma lixeira se nunca a usa?,,
Mostly because it blends in with the rest of the odors.,,Principalmente porque se mistura com o resto dos odores.,,
"At the rate you're going, you'll never make it here.",,"No ritmo que você está indo, você nunca conseguirá chegar aqui.",,
"Even though you've lived in this dorm for some time, you never finished unpacking.",,"Mesmo que você já more neste dormitório há algum tempo, você nunca terminou de desfazer as malas.",,
"\F[alice_no]\AA[N]Sometimes, you like to think that it's sunny because you're not out there.",,\F[alice_no]\AA[N]Às vezes você gosta de pensar que está ensolarado porque você não está lá fora.,,
Some throw themselves into their work and become even more productive...,,Alguns se dedicam ao trabalho e se tornam ainda mais produtivos...,,
Because at least they're putting themselves out into the world...,,Porque pelo menos eles estão se expondo ao mundo...,,
\F[alice_downturned]\AA[F]I was never going to leave in the first place.,,"\F[alice_downturned]\AA[F]Em primeiro lugar, eu nunca iria embora.",,
...You've come to realize that maybe you don't dream because your mind itself is a prison.,,...Você percebeu que talvez não sonhe porque sua própria mente é uma prisão.,,
You never intended to leave in the first place.,,Você nunca teve a intenção de partir em primeiro lugar.,,
